property_name,property_id,breadcrumbs,price,image_url,description,seller_name,location,property_type,bathroom,bedroom
വീട്  വാടകയ്ക്ക് മെഡിക്കൽ കോളേജ്,1774840494,"['Home', 'Properties', 'For Rent: Houses & Apartments', 'For Rent: Houses & Apartments in Kerala', 'For Rent: Houses & Apartments in Kozhikode', 'For Rent: Houses & Apartments in Kovoor', 'വീട്  വാടകയ്ക്ക് മെഡിക്കൽ കോളേജ്']","{'amount': '8,500', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/0qf9buca7urk1-IN/image;s=850x0,മെയിൻ റോഡിൽ നിന്ന് 600 മീറ്റർ ദൂരം കോമൺ ബാത്റൂ,HPK,"Kovoor, Kozhikode, Kerala",Houses & Villas,3,3
First floor house for rent,1775123114,"['Home', 'Properties', 'For Rent: Houses & Apartments', 'For Rent: Houses & Apartments in Kerala', 'For Rent: Houses & Apartments in Kozhikode', 'For Rent: Houses & Apartments in Mankavu', 'First floor house for rent']","{'amount': '16,000', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/j6ms8c2njxbk2-IN/image;s=850x0,Rented house near MIMS and LULU mall ( just 500 mtr ). Best ladies or family. Nearest to Mankavu bypass and railway station. calm and cool residential area in side kozhikode city,Jimshith,"Mankavu, Kozhikode, Kerala",Houses & Villas,2,2
1bhk luxury flat for rent near cyberpark thondayad  bypass,1722080589,"['Home', 'Properties', 'For Rent: Houses & Apartments', 'For Rent: Houses & Apartments in Kerala', 'For Rent: Houses & Apartments in Kozhikode', 'For Rent: Houses & Apartments in Thondayad', '1bhk luxury flat for rent near cyberpark thondayad  bypass']","{'amount': '22,000', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/ufjibkvwkdcj3-IN/image;s=850x0,1bhk luxury flat for rent near cyberpark thondayad  bypass.,PN PROPERTIES,"Thondayad, Kozhikode, Kerala",Apartments,1,1
2 bedroom 1 st floor karaparamba,1775352994,"['Home', 'Properties', 'For Rent: Houses & Apartments', 'For Rent: Houses & Apartments in Kerala', 'For Rent: Houses & Apartments in Kozhikode', 'For Rent: Houses & Apartments in Karaparamba', '2 bedroom 1 st floor karaparamba']","{'amount': '7,500', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/7rtj179p3a372-IN/image;s=850x0,"2 bedroom 1 attached 1 common bathroom Hall kitchen balcony good ground open water well Two wheeler site just 500 meter karaparamba junction 30,000 advance",Real Peace Properties,"Karaparamba, Kozhikode, Kerala",Houses & Villas,2,2
2bhk Luxury  Branded flat for rent near Hilite mall,1768450258,"['Home', 'Properties', 'For Rent: Houses & Apartments', 'For Rent: Houses & Apartments in Kerala', 'For Rent: Houses & Apartments in Kozhikode', 'For Rent: Houses & Apartments in Thondayad', '2bhk Luxury  Branded flat for rent near Hilite mall']","{'amount': '35,000', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/xyon1kju8jcc1-IN/image;s=850x0,2 bhk Luxury  Branded flat for rent near Hilite mall ,FAISAL,"Thondayad, Kozhikode, Kerala",Apartments,2,2
2 bhk fully furnished flat at HI LITE CITY,1771470969,"['Home', 'Properties', 'For Rent: Houses & Apartments', 'For Rent: Houses & Apartments in Kerala', 'For Rent: Houses & Apartments in Kozhikode', 'For Rent: Houses & Apartments in Thondayad', '2 bhk fully furnished flat at HI LITE CITY']","{'amount': '31,000', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/g733vr1uhhls-IN/image;s=850x0,2 bhk fully furnished flat at HI LITE CITY,Muneer..,"Thondayad, Kozhikode, Kerala",Apartments,3,2
Perfect place for stay,1773847291,"['Home', 'Properties', 'For Rent: Houses & Apartments', 'For Rent: Houses & Apartments in Kerala', 'For Rent: Houses & Apartments in Nilambur', 'For Rent: Houses & Apartments in Chandakunnu', 'Perfect place for stay']","{'amount': '2,000', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/yw8otq2co2rd-IN/image;s=850x0,Good.. Peaceful atmosphere.. Calm area for living,Lissy joy ,"Chandakunnu, Nilambur, Kerala",Apartments,1,2
3 BHK HOME FOR RENT,1774327366,"['Home', 'Properties', 'For Rent: Houses & Apartments', 'For Rent: Houses & Apartments in Kerala', 'For Rent: Houses & Apartments in Kozhikode', 'For Rent: Houses & Apartments in Nadakkavu', '3 BHK HOME FOR RENT']","{'amount': '20,000', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/f2wfg25nnbyi-IN/image;s=850x0,"Good home, road frontage, 3 bhk",OLX User,"Nadakkavu, Kozhikode, Kerala",Houses & Villas,3,3
Patteri 2BHK apartment rs 28000 per month,1775239422,"['Home', 'Properties', 'For Rent: Houses & Apartments', 'For Rent: Houses & Apartments in Kerala', 'For Rent: Houses & Apartments in Kozhikode', 'For Rent: Houses & Apartments in Pottammal', 'Patteri 2BHK apartment rs 28000 per month']","{'amount': '28,000', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/pzvkcpdzs3te3-IN/image;s=850x0,Patteri 2BHK apartment with Fully furnished apartment with security CCTV camera lift etc,Seashore Realtors,"Pottammal, Kozhikode, Kerala",Apartments,2,2
Fully furnished/ Independent House in Thrissur - Manakodi,1772017101,"['Home', 'Properties', 'For Rent: Houses & Apartments', 'For Rent: Houses & Apartments in Kerala', 'For Rent: Houses & Apartments in Thrissur', 'For Rent: Houses & Apartments in Chettupuzha', 'Fully furnished/ Independent House in Thrissur - Manakodi']","{'amount': '16,000', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/qoa6xn4gzp631-IN/image;s=850x0,"Fully furnished/ Independent House in Thrissur - Manakodi with Big courtyard , very much accessible to all location in Thrissur. Fresh well water , all marble floors, 4 side compound wall , House is in 10 cents land and have a plenty of space in the compound.",Davis PJ,"Chettupuzha, Thrissur, Kerala",Houses & Villas,3,3
2bhk groundfloor. Family/ladies/students. Chvyr,1774785494,"['Home', 'Properties', 'For Rent: Houses & Apartments', 'For Rent: Houses & Apartments in Kerala', 'For Rent: Houses & Apartments in Kozhikode', 'For Rent: Houses & Apartments in Chevayoor', '2bhk groundfloor. Family/ladies/students. Chvyr']","{'amount': '14,000', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/ffj76v4ng4hq3-IN/image;s=850x0,"2bhk groundfloor. 2bath.1attach, ",Jithu,"Chevayoor, Kozhikode, Kerala",Houses & Villas,2,2
4 bhk fully furnished House for Rent At Nadakkave.,1765901008,"['Home', 'Properties', 'For Rent: Houses & Apartments', 'For Rent: Houses & Apartments in Kerala', 'For Rent: Houses & Apartments in Kozhikode', 'For Rent: Houses & Apartments in Nadakkavu', '4 bhk fully furnished House for Rent At Nadakkave.']","{'amount': '65,000', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/zh0i67qou7o3-IN/image;s=850x0,Elegant 4BHK Fully Furnished House for Rent in Nadakkavu,Endless properties,"Nadakkavu, Kozhikode, Kerala",Houses & Villas,3,4
"2 BHK SEMI FURNISHED FLAT FOR RENT NEAR PUSPHA JUNCTION,CHALAPUARM",1775028698,"['Home', 'Properties', 'For Rent: Houses & Apartments', 'For Rent: Houses & Apartments in Kerala', 'For Rent: Houses & Apartments in Kozhikode', 'For Rent: Houses & Apartments in Chalappuram', '2 BHK SEMI FURNISHED FLAT FOR RENT NEAR PUSPHA JUNCTION,CHALAPUARM']","{'amount': '25,000', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/5spkioaxwqgi2-IN/image;s=850x0,2 BHK SEMI FURNISHED,EK properties,"Chalappuram, Kozhikode, Kerala",Builder Floors,2,2
1bhk brand new fully furnished flat for rent near cyberpark,1774421374,"['Home', 'Properties', 'For Rent: Houses & Apartments', 'For Rent: Houses & Apartments in Kerala', 'For Rent: Houses & Apartments in Kozhikode', 'For Rent: Houses & Apartments in Thondayad', '1bhk brand new fully furnished flat for rent near cyberpark']","{'amount': '21,000', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/b18qcbrd9gfo2-IN/image;s=850x0,1bhk brand  new fully furnished flat for rent near cyberpark.,PN PROPERTIES,"Thondayad, Kozhikode, Kerala",Apartments,2,1
1bhk posh furnished branded flat for rent at landmark world,1689236570,"['Home', 'Properties', 'For Rent: Houses & Apartments', 'For Rent: Houses & Apartments in Kerala', 'For Rent: Houses & Apartments in Kozhikode', 'For Rent: Houses & Apartments in Thondayad', '1bhk posh furnished branded flat for rent at landmark world']","{'amount': '21,000', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/cblvz3l9s0911-IN/image;s=850x0,1bhk posh furnished branded flat for rent at landmark world,PN PROPERTIES,"Thondayad, Kozhikode, Kerala",Apartments,2,1
2bhk Semi furnished flat for rent at Palazhi Kozhikode,1675930329,"['Home', 'Properties', 'For Rent: Houses & Apartments', 'For Rent: Houses & Apartments in Kerala', 'For Rent: Houses & Apartments in Kozhikode', 'For Rent: Houses & Apartments in Thondayad', '2bhk Semi furnished flat for rent at Palazhi Kozhikode']","{'amount': '25,000', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/8ia0axvadw0z2-IN/image;s=850x0,2bhk Semi furnished flat for rent at Palazhi Kozhikode,FAISAL,"Thondayad, Kozhikode, Kerala",Apartments,2,2
Hi lite metronax 2 bhk furnished flat for rent,1771838602,"['Home', 'Properties', 'For Rent: Houses & Apartments', 'For Rent: Houses & Apartments in Kerala', 'For Rent: Houses & Apartments in Kozhikode', 'For Rent: Houses & Apartments in Thondayad', 'Hi lite metronax 2 bhk furnished flat for rent']","{'amount': '25,000', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/j3btpooj4zm4-IN/image;s=850x0,Hi lite metronax 2 bhk furnished flat for rent,Muneer..,"Thondayad, Kozhikode, Kerala",Apartments,3,2
1 bhk furnished house upstair portion near kottooli  main road side,1775307957,"['Home', 'Properties', 'For Rent: Houses & Apartments', 'For Rent: Houses & Apartments in Kerala', 'For Rent: Houses & Apartments in Kozhikode', 'For Rent: Houses & Apartments in Koottuli', '1 bhk furnished house upstair portion near kottooli  main road side']","{'amount': '12,000', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/b1h5fsiotc8g1-IN/image;s=850x0,2 men bachlors available. Furnishes. 1 bed room. Hall. Kitchen. 2 car parking. 2.km from bus stand Kozhikode.,PRAVEEN,"Koottuli, Kozhikode, Kerala",Houses & Villas,1,1
"House for lease 7 lakhs, compound wall, welll, water connecion , t",1709855889,"['Home', 'Properties', 'For Rent: Houses & Apartments', 'For Rent: Houses & Apartments in Kerala', 'For Rent: Houses & Apartments in Kozhikode', 'For Rent: Houses & Apartments in Athanikkal', 'House for lease 7 lakhs, compound wall, welll, water connecion , t']","{'amount': '7,00,000', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/fe4guetezjfz-IN/image;s=850x0,"Location Athanikkal east, near delight bank, opp anand marg asram ",Jithin,"Athanikkal, Kozhikode, Kerala",Houses & Villas,0,3
GROUND FLOOR FOR RENT MANAKAVU CALICUT,1757898925,"['Home', 'Properties', 'For Rent: Houses & Apartments', 'For Rent: Houses & Apartments in Kerala', 'For Rent: Houses & Apartments in Kozhikode', 'For Rent: Houses & Apartments in Mankavu', 'GROUND FLOOR FOR RENT MANAKAVU CALICUT']","{'amount': '10,000', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/hnxt1edwh7a61-IN/image;s=850x0,GROUND FLOOR FOR RENT MANAKAVU CALICUT ,HEAVEN REAL ESTATE AGENT,"Mankavu, Kozhikode, Kerala",Houses & Villas,2,2
House for rent @ Methottuthazham,1760531053,"['Home', 'Properties', 'For Rent: Houses & Apartments', 'For Rent: Houses & Apartments in Kerala', 'For Rent: Houses & Apartments in Kozhikode', 'For Rent: Houses & Apartments in Poovangal', 'House for rent @ Methottuthazham']","{'amount': '15,000', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/cld1tc4gbbvi2-IN/image;s=850x0,Compound wall well water new house for rent,Sunil Kc,"Poovangal, Kozhikode, Kerala",Houses & Villas,3,3
2 BHK PREMIUM UNFURNISHED FLAT FOR RENT NEAR CHRISTIAN COLLEGE,1774565595,"['Home', 'Properties', 'For Rent: Houses & Apartments', 'For Rent: Houses & Apartments in Kerala', 'For Rent: Houses & Apartments in Kozhikode', 'For Rent: Houses & Apartments in Christian College', '2 BHK PREMIUM UNFURNISHED FLAT FOR RENT NEAR CHRISTIAN COLLEGE']","{'amount': '28,000', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/j3122pp468bn3-IN/image;s=850x0,Branded flat for rent & sale available in Calicut,PROPERTY HUB,"Christian College, Kozhikode, Kerala",Apartments,2,2
Rental house Karaparmba 2bed rooms Rent ₹ 15000/- adv 50000/-,1774639701,"['Home', 'Properties', 'For Rent: Houses & Apartments', 'For Rent: Houses & Apartments in Kerala', 'For Rent: Houses & Apartments in Kozhikode', 'For Rent: Houses & Apartments in East Nadakkavu', 'Rental house Karaparmba 2bed rooms Rent ₹ 15000/- adv 50000/-']","{'amount': '15,000', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/x18v88uzd6lb-IN/image;s=850x0,"Kozhikode karaparampa, rental independent house, good residential area 2bed rooms,  dining, living, kitchen and work area, 1200 sqrft' good well water, 30 meter from main road, two car parking facility, rent₹ 15000/-",Sunilkumar,"East Nadakkavu, Kozhikode, Kerala",Houses & Villas,2,2
"2 BHK FURNISHED FLAT FOR RENT NEAR CYBER PARK,CALICUT",1762990925,"['Home', 'Properties', 'For Rent: Houses & Apartments', 'For Rent: Houses & Apartments in Kerala', 'For Rent: Houses & Apartments in Kozhikode', 'For Rent: Houses & Apartments in Thondayad', '2 BHK FURNISHED FLAT FOR RENT NEAR CYBER PARK,CALICUT']","{'amount': '26,000', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/mpvb8rpeeu1u1-IN/image;s=850x0,2 bhk Furnished,EK properties,"Thondayad, Kozhikode, Kerala",Builder Floors,2,2
2BHK  near Chinmaya,1765129308,"['Home', 'Properties', 'For Rent: Houses & Apartments', 'For Rent: Houses & Apartments in Kerala', 'For Rent: Houses & Apartments in Thrissur', 'For Rent: Houses & Apartments in Kolazhy', '2BHK  near Chinmaya']","{'amount': '7,651', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/lenr8q8gm1i21-IN/image;s=850x0,"East facing 2 BHK flat with balcony and terrace available for rent. Walking distance from Poovani bus stop, next to Chinmaya school in Kolazhy Thrissur. Has a covered cupboard in the bedroom.Suitable for small family, students, home based work station for artists, consultants, coaching centre.open parking for bike or small car only",Lata,"Kolazhy, Thrissur, Kerala",Apartments,2,2
DOUBLE STORIED HOUSE FOR RENT NEAR PUTHIYARA CALICUT,1755588314,"['Home', 'Properties', 'For Rent: Houses & Apartments', 'For Rent: Houses & Apartments in Kerala', 'For Rent: Houses & Apartments in Kozhikode', 'For Rent: Houses & Apartments in Puthiyara', 'DOUBLE STORIED HOUSE FOR RENT NEAR PUTHIYARA CALICUT']","{'amount': '30,000', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/vkbxzkf5i2cs1-IN/image;s=850x0,DOUBLE STORIED HOUSE FOR RENT NEAR PUTHIYARA CALICUT,HEAVEN REAL ESTATE AGENT,"Puthiyara, Kozhikode, Kerala",Houses & Villas,3,3
Roms for rent,1775203939,"['Home', 'Properties', 'For Rent: Houses & Apartments', 'For Rent: Houses & Apartments in Kerala', 'For Rent: Houses & Apartments in Kozhikode', 'For Rent: Houses & Apartments in Khedeja Square', 'Roms for rent']","{'amount': '7,000', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/5e0lfndq35by1-IN/image;s=850x0,150000 advance and 7000 rent,Dhaneesh,"Khedeja Square, Kozhikode, Kerala",Builder Floors,1,1
Apartment for rent @ kottuli,1760479002,"['Home', 'Properties', 'For Rent: Houses & Apartments', 'For Rent: Houses & Apartments in Kerala', 'For Rent: Houses & Apartments in Kozhikode', 'For Rent: Houses & Apartments in Kottuli', 'Apartment for rent @ kottuli']","{'amount': '18,000', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/nr577jhoaii02-IN/image;s=850x0,Walking distance from Main road well community apartment,Sunil Kc,"Kottuli, Kozhikode, Kerala",Apartments,3,3
Good upstair portion house for rent just near E-max theater,1774721513,"['Home', 'Properties', 'For Rent: Houses & Apartments', 'For Rent: Houses & Apartments in Kerala', 'For Rent: Houses & Apartments in Kozhikode', 'For Rent: Houses & Apartments in Kovoor', 'Good upstair portion house for rent just near E-max theater']","{'amount': '11,000', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/fy6xj6nmidv5-IN/image;s=850x0,Good attractive location.ground floor a govt staff family.near to Rahmania school road.,All Rentals,"Kovoor, Kozhikode, Kerala",Houses & Villas,2,2
3bhk house.Students/ Bachlors/ladies. Chevayur.,1775339946,"['Home', 'Properties', 'For Rent: Houses & Apartments', 'For Rent: Houses & Apartments in Kerala', 'For Rent: Houses & Apartments in Kozhikode', 'For Rent: Houses & Apartments in Chevayoor', '3bhk house.Students/ Bachlors/ladies. Chevayur.']","{'amount': '15,000', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/7tee8qfztwl33-IN/image;s=850x0,"3bhk 3attach bath. Bachlors/ students allowed. Well water,just 500mtr chevayur.400 mtr starcare hospital thondayad..3.5 km calicut town.2.5km Hilite&cyberpark palazhi.150 mtr main road.",Jithu,"Chevayoor, Kozhikode, Kerala",Houses & Villas,3,3
2Bhk furnished flat for rent at Calicut,1580165693,"['Home', 'Properties', 'For Rent: Houses & Apartments', 'For Rent: Houses & Apartments in Kerala', 'For Rent: Houses & Apartments in Kozhikode', 'For Rent: Houses & Apartments in Thondayad', '2Bhk furnished flat for rent at Calicut']","{'amount': '35,000', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/7ps51m1mzej3-IN/image;s=850x0,2Bhk furnished flat for rent at Calicut,FAISAL,"Thondayad, Kozhikode, Kerala",Apartments,2,2
Studio fully furnished flat for rent at Thondayad bypass,1678342508,"['Home', 'Properties', 'For Rent: Houses & Apartments', 'For Rent: Houses & Apartments in Kerala', 'For Rent: Houses & Apartments in Kozhikode', 'For Rent: Houses & Apartments in Thondayad', 'Studio fully furnished flat for rent at Thondayad bypass']","{'amount': '19,000', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/pb553lizdmhk3-IN/image;s=850x0,Studio fully furnished flat for rent at Thondayad bypass,FAISAL,"Thondayad, Kozhikode, Kerala",Apartments,1,1
House for rent @Malaparamb,1763500874,"['Home', 'Properties', 'For Rent: Houses & Apartments', 'For Rent: Houses & Apartments in Kerala', 'For Rent: Houses & Apartments in Kozhikode', 'For Rent: Houses & Apartments in Malaparamba', 'House for rent @Malaparamb']","{'amount': '22,000', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/6ulthazdunjc3-IN/image;s=850x0,Compound wall well water near by bypass,Sunil Kc,"Malaparamba, Kozhikode, Kerala",Houses & Villas,3,3
2bhk luxury flat for rent near thondayad bypass calicut,1745079404,"['Home', 'Properties', 'For Rent: Houses & Apartments', 'For Rent: Houses & Apartments in Kerala', 'For Rent: Houses & Apartments in Kozhikode', 'For Rent: Houses & Apartments in Thondayad', '2bhk luxury flat for rent near thondayad bypass calicut']","{'amount': '30,000', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/x1nbyxpp2yas2-IN/image;s=850x0,2bhk luxury flat for rent near thondayad bypass calicut,PN PROPERTIES,"Thondayad, Kozhikode, Kerala",Apartments,2,2
House for rent  (1st floor),1775587929,"['Home', 'Properties', 'For Rent: Houses & Apartments', 'For Rent: Houses & Apartments in Kerala', 'For Rent: Houses & Apartments in Beypore', 'For Rent: Houses & Apartments in Mathottam', 'House for rent  (1st floor)']","{'amount': '12,000', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/x5uidc0sas8y1-IN/image;s=850x0,House for rent (1st floor),Mohammed junaid ,"Mathottam, Beypore, Kerala",Houses & Villas,2,2
3BHK apartment mims rent rs 28000,1773429171,"['Home', 'Properties', 'For Rent: Houses & Apartments', 'For Rent: Houses & Apartments in Kerala', 'For Rent: Houses & Apartments in Kozhikode', 'For Rent: Houses & Apartments in Govindapuram', '3BHK apartment mims rent rs 28000']","{'amount': '28,000', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/fh2fdvj827gq3-IN/image;s=850x0,This is a 3BHK fully furnished apartment near mims hospital.Its fully furnished apartment with all the amenities.Its having 1900 square feet.,Seashore Realtors,"Govindapuram, Kozhikode, Kerala",Apartments,3,3
ഇരിങ്ങാടൻപള്ളി 3ബെഡ്‌റൂം വീട് വാടകക്ക്,1750936056,"['Home', 'Properties', 'For Rent: Houses & Apartments', 'For Rent: Houses & Apartments in Kerala', 'For Rent: Houses & Apartments in Kozhikode', 'For Rent: Houses & Apartments in Chevarambalam', 'ഇരിങ്ങാടൻപള്ളി 3ബെഡ്\u200cറൂം വീട് വാടകക്ക്']","{'amount': '25,000', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/8l0pz6edpzlg-IN/image;s=850x0,ഇരിങ്ങാടൻപള്ളി ബൈപ്പാസിനടുത്തായി 3ബെഡ്‌റൂം വീട് വാടകക്ക്,Vijesh K,"Chevarambalam, Kozhikode, Kerala",Houses & Villas,3,3
4bedroom House near pottammal,1637922900,"['Home', 'Properties', 'For Rent: Houses & Apartments', 'For Rent: Houses & Apartments in Kerala', 'For Rent: Houses & Apartments in Kozhikode', 'For Rent: Houses & Apartments in Pottammal', '4bedroom House near pottammal']","{'amount': '16,500', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/sowxrd880zu4-IN/image;s=850x0,"4 bedroom, 2 hall, 2 sitout, 2 kitchen/store room, 3 bathroom New villa, well water, 500 meter to Pottammal, mims hospital, starcare, govindapuram. 1 km to CyberPark Calicut. 4 km to medical college. Preferred: Families and bachelors with reputed jobs. Well water all year. ",Hari,"Pottammal, Kozhikode, Kerala",Houses & Villas,3,4
3 BHK LUXURY SEMI FURNISHED FLAT FOR RENT NEAR BEACH,1775699877,"['Home', 'Properties', 'For Rent: Houses & Apartments', 'For Rent: Houses & Apartments in Kerala', 'For Rent: Houses & Apartments in Kozhikode', 'For Rent: Houses & Apartments in Calicut Beach', '3 BHK LUXURY SEMI FURNISHED FLAT FOR RENT NEAR BEACH']","{'amount': '30,000', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/s8xl62yh4j8n-IN/image;s=850x0,Branded flat for rent & sale available in Calicut,PROPERTY HUB,"Calicut Beach, Kozhikode, Kerala",Apartments,3,3
2 bhk single storied house near kovoor,1774510579,"['Home', 'Properties', 'For Rent: Houses & Apartments', 'For Rent: Houses & Apartments in Kerala', 'For Rent: Houses & Apartments in Kozhikode', 'For Rent: Houses & Apartments in Chevayur', '2 bhk single storied house near kovoor']","{'amount': '14,000', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/h2ht6w3j2q7e-IN/image;s=850x0,Good location.easy access to main road.wide road access.three car parking.Rent Rs.14000/-per month,All Rentals,"Chevayur, Kozhikode, Kerala",Houses & Villas,0,2
Room For Rent,1769523504,"['Home', 'Properties', 'For Rent: Houses & Apartments', 'For Rent: Houses & Apartments in Kerala', 'For Rent: Houses & Apartments in Kozhikode', 'For Rent: Houses & Apartments in Tali', 'Room For Rent']","{'amount': '5,500', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/lpj00alxguah3-IN/image;s=850x0,Near NSS School Chalappuram,Thankam,"Tali, Kozhikode, Kerala",Houses & Villas,1,1
Fully furnished branded apartment for rent near erinhipalam,1775684477,"['Home', 'Properties', 'For Rent: Houses & Apartments', 'For Rent: Houses & Apartments in Kerala', 'For Rent: Houses & Apartments in Kozhikode', 'For Rent: Houses & Apartments in Eranhipalam', 'Fully furnished branded apartment for rent near erinhipalam']","{'amount': '30,000', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/ttatqyn3y3k61-IN/image;s=850x0,"Elagantly furnished branded apartment.reserve car parking,security etc.for families only.Rent Rs30000/-per month.plus3000/-maintainace charge",All Rentals,"Eranhipalam, Kozhikode, Kerala",Apartments,4,2
Spacious apartment for rent for families near housing board kovoor,1774610374,"['Home', 'Properties', 'For Rent: Houses & Apartments', 'For Rent: Houses & Apartments in Kerala', 'For Rent: Houses & Apartments in Kozhikode', 'For Rent: Houses & Apartments in Kovoor', 'Spacious apartment for rent for families near housing board kovoor']","{'amount': '15,000', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/5byzwlrwsbsf2-IN/image;s=850x0,Good location that with easy access to kovoor town and medical college.,All Rentals,"Kovoor, Kozhikode, Kerala",Apartments,0,3
"BACHELORS ALLOWED UP STAIR FOR RENT,ERANJIPALAM,CALICUT",1652410714,"['Home', 'Properties', 'For Rent: Houses & Apartments', 'For Rent: Houses & Apartments in Kerala', 'For Rent: Houses & Apartments in Kozhikode', 'For Rent: Houses & Apartments in Eranhipalam', 'BACHELORS ALLOWED UP STAIR FOR RENT,ERANJIPALAM,CALICUT']","{'amount': '9,000', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/nr7zt8b74zqk2-IN/image;s=850x0,"TWO BEDROOM,COMMON BATHROOM,HALL,KITCHEN,CAR SITE",TRUTH REAL ESTATE,"Eranhipalam, Kozhikode, Kerala",Houses & Villas,1,2
Twin house first floor furnished for rent,1771345776,"['Home', 'Properties', 'For Rent: Houses & Apartments', 'For Rent: Houses & Apartments in Kerala', 'For Rent: Houses & Apartments in Kozhikode', 'For Rent: Houses & Apartments in Chevayoor', 'Twin house first floor furnished for rent']","{'amount': '18,000', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/s8rujvm39mso-IN/image;s=850x0,3bhk upstairs of a Twin house at chevayoor near mavoor road. Furnished.,sasi palazhi,"Chevayoor, Kozhikode, Kerala",Houses & Villas,2,3
"2 BHK FURNISHED FLAT FOR RENT NEAR KARAPPARAMB, CALICUT",1771300423,"['Home', 'Properties', 'For Rent: Houses & Apartments', 'For Rent: Houses & Apartments in Kerala', 'For Rent: Houses & Apartments in Kozhikode', 'For Rent: Houses & Apartments in Karaparamba', '2 BHK FURNISHED FLAT FOR RENT NEAR KARAPPARAMB, CALICUT']","{'amount': '30,000', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/kkwzi9yh3ae21-IN/image;s=850x0,"2 BHK FURNISHED FLAT FOR RENT NEAR KARAPPARAMB, CALICUT ",EK properties,"Karaparamba, Kozhikode, Kerala",Builder Floors,2,2
Villa for rent NGO quaters -rs 25000,1772937835,"['Home', 'Properties', 'For Rent: Houses & Apartments', 'For Rent: Houses & Apartments in Kerala', 'For Rent: Houses & Apartments in Kozhikode', 'For Rent: Houses & Apartments in Paroppadi', 'Villa for rent NGO quaters -rs 25000']","{'amount': '25,000', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/khtgtx6yhyso-IN/image;s=850x0,It's villa for rent in ngo quaters with 3BHK independent home.Its having semi furnished condition . Monthly expected rent is rs 25000 .For more information please feel free to contact us,Seashore Realtors,"Paroppadi, Kozhikode, Kerala",Houses & Villas,3,3
Apartments for rent 3BHK -rs 25000,1773243156,"['Home', 'Properties', 'For Rent: Houses & Apartments', 'For Rent: Houses & Apartments in Kerala', 'For Rent: Houses & Apartments in Kozhikode', 'For Rent: Houses & Apartments in Thondayad', 'Apartments for rent 3BHK -rs 25000']","{'amount': '25,000', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/3xp0mp0072kb2-IN/image;s=850x0,"This is a 3BHK apartment in koottooli.Its Fully furnished condition with TV , fridge, washing machine,bed ,coat , gas stove, cylinder , geyser , dressing table, dressing stand,  dinning table, 5 seater sofa , shoe rack etc.Its a 5 years old property.For more information please feel free to contact us at",Seashore Realtors,"Thondayad, Kozhikode, Kerala",Apartments,3,3
