property_name,property_id,breadcrumbs,price,image_url,description,seller_name,location,property_type,bathroom,bedroom
For rent 13000only,1775095054,"['Home', 'Properties', 'For Rent: Houses & Apartments', 'For Rent: Houses & Apartments in Kerala', 'For Rent: Houses & Apartments in Kozhikode', 'For Rent: Houses & Apartments in Areekkad', 'For rent 13000only']","{'amount': '13,000', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/5gfrlq37pi96-IN/image;s=850x0,Two bed room (1 attached bathroom),Sam,"Areekkad, Kozhikode, Kerala",Houses & Villas,2,2
3 bhk appartment near civil station,1771951871,"['Home', 'Properties', 'For Rent: Houses & Apartments', 'For Rent: Houses & Apartments in Kerala', 'For Rent: Houses & Apartments in Kozhikode', 'For Rent: Houses & Apartments in Calicut Civil Station', '3 bhk appartment near civil station']","{'amount': '16,000', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/uav842c398db1-IN/image;s=850x0,2 bath attachd room and comon bath room. Hall. Kitchen furnished. Balcony. Well water. Good residentional area,PRAVEEN,"Calicut Civil Station, Kozhikode, Kerala",Apartments,3,3
One Bedroom,1774508465,"['Home', 'Properties', 'For Rent: Houses & Apartments', 'For Rent: Houses & Apartments in Kerala', 'For Rent: Houses & Apartments in Kozhikode', 'For Rent: Houses & Apartments in Kottuli', 'One Bedroom']","{'amount': '6,000', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/q52sjdcugc2d1-IN/image;s=850x0,Six month rent advance.,Mohana Gopalp,"Kottuli, Kozhikode, Kerala",Houses & Villas,1,1
2 BHK FURNISHED FLAT FOR RENT NEAR CALICUT BEACH,1762674423,"['Home', 'Properties', 'For Rent: Houses & Apartments', 'For Rent: Houses & Apartments in Kerala', 'For Rent: Houses & Apartments in Kozhikode', 'For Rent: Houses & Apartments in Calicut Beach', '2 BHK FURNISHED FLAT FOR RENT NEAR CALICUT BEACH']","{'amount': '23,000', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/s45qbx62o838-IN/image;s=850x0,2 bhk Furnished flat for rent calicut beach,EK properties,"Calicut Beach, Kozhikode, Kerala",Builder Floors,2,2
2 bhk ground flor near star care hospital. Thondayad,1775285920,"['Home', 'Properties', 'For Rent: Houses & Apartments', 'For Rent: Houses & Apartments in Kerala', 'For Rent: Houses & Apartments in Kozhikode', 'For Rent: Houses & Apartments in Thondayad', '2 bhk ground flor near star care hospital. Thondayad']","{'amount': '14,000', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/8jeqipgybxfu3-IN/image;s=850x0,50 meeter from stare care hospital thondayad. 2 bed room. 2 bath room. Hall. Kitchen. Car parking. Compound wall. Advance. 30000,PRAVEEN,"Thondayad, Kozhikode, Kerala",Houses & Villas,2,2
Semi furnished 1  bhk flat for rent at Thondayad bypass calicut,1768449213,"['Home', 'Properties', 'For Rent: Houses & Apartments', 'For Rent: Houses & Apartments in Kerala', 'For Rent: Houses & Apartments in Kozhikode', 'For Rent: Houses & Apartments in Thondayad', 'Semi furnished 1  bhk flat for rent at Thondayad bypass calicut']","{'amount': '18,000', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/d0cuil53apwh2-IN/image;s=850x0,1 bhk Luxury  Branded flat for rent near Pantheerankavu ,FAISAL,"Thondayad, Kozhikode, Kerala",Apartments,1,1
3 BHK LUXURY FULLY FURNISHED FLAT FOR RENT NEAR KARAPARAMB,1774456084,"['Home', 'Properties', 'For Rent: Houses & Apartments', 'For Rent: Houses & Apartments in Kerala', 'For Rent: Houses & Apartments in Kozhikode', 'For Rent: Houses & Apartments in Karaparamba', '3 BHK LUXURY FULLY FURNISHED FLAT FOR RENT NEAR KARAPARAMB']","{'amount': '25,000', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/pwikn57o7mc33-IN/image;s=850x0,Branded flat for rent & sale available in Calicut,PROPERTY HUB,"Karaparamba, Kozhikode, Kerala",Apartments,3,3
DOUBLE STOYED FULLFURNISHED  AC HOUSE FOR RENT MANKAVU CALICUT,1757900193,"['Home', 'Properties', 'For Rent: Houses & Apartments', 'For Rent: Houses & Apartments in Kerala', 'For Rent: Houses & Apartments in Kozhikode', 'For Rent: Houses & Apartments in Mankavu', 'DOUBLE STOYED FULLFURNISHED  AC HOUSE FOR RENT MANKAVU CALICUT']","{'amount': '20,000', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/mhpmsgbwbtqo2-IN/image;s=850x0,DOUBLE STOYED FULLFURNISHED  AC HOUSE FOR RENT MANKAVU CALICUT,HEAVEN REAL ESTATE AGENT,"Mankavu, Kozhikode, Kerala",Houses & Villas,3,3
1bhk fully furnished flat for rent at Calicut Palazhi,1675898980,"['Home', 'Properties', 'For Rent: Houses & Apartments', 'For Rent: Houses & Apartments in Kerala', 'For Rent: Houses & Apartments in Kozhikode', 'For Rent: Houses & Apartments in Thondayad', '1bhk fully furnished flat for rent at Calicut Palazhi']","{'amount': '23,000', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/e3tktq3unjwg1-IN/image;s=850x0,1bhk fully furnished flat for rent at Calicut Palazhi,FAISAL,"Thondayad, Kozhikode, Kerala",Apartments,1,1
2BHK FULLY FURNISHED FLAT FOR RENT AT MAVOOR ROAD,1775240946,"['Home', 'Properties', 'For Rent: Houses & Apartments', 'For Rent: Houses & Apartments in Kerala', 'For Rent: Houses & Apartments in Kozhikode', 'For Rent: Houses & Apartments in Karaparamba', '2BHK FULLY FURNISHED FLAT FOR RENT AT MAVOOR ROAD']","{'amount': '25,000', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/ngv9xvlc8oum3-IN/image;s=850x0,2BHK FULLY FURNISHED FLAT FOR RENT AT MAVOOR ROAD ,Planet Homes,"Karaparamba, Kozhikode, Kerala",Apartments,2,2
